time,site,easting,northing,Year,richness,ca1.score
t1,S1544,324540,214580,1993,13,0.722420199
t1,S1545,321515,212465,1991,9,0.020496483
t1,S1545,321515,212465,1992,16,0.416842692
t1,S1545,321515,212465,1993,14,0.696136446
t1,S1546,323770,216300,1992,23,0.90036437
t1,S1546,323770,216300,1993,27,0.933008075
t1,S1547,319166,220105,1992,27,0.766136332
t1,S1547,319166,220105,1993,29,0.674373721
t1,S1548,311865,222975,1991,26,0.805544932
t1,S1548,311865,222975,1992,25,0.821183918
t1,S1548,311865,222975,1993,26,0.996681487
t1,S1549,309070,225390,1992,21,0.603940743
t1,S1549,309070,225390,1993,21,1.057392222
t1,S1550,306732,226610,1991,24,0.533388055
t1,S1550,306732,226610,1992,25,0.749740796
t1,S1550,306732,226610,1993,24,0.981666898
t1,S1551,304301,228645,1991,19,0.881599037
t1,S1551,304301,228645,1992,22,0.92972586
t1,S1551,304301,228645,1993,21,0.798941104
t1,S1552,303382,228419,1992,31,0.618315549
t1,S1552,303382,228419,1993,28,0.877793544
t1,S1553,300363,230230,1991,24,0.735615515
t1,S1553,300363,230230,1992,24,0.823152442
t1,S1553,300363,230230,1993,31,0.806379598
t1,S1554,298715,229209,1993,25,0.981431226
t1,S1555,293767,230176,1991,18,0.843929769
t1,S1555,293767,230176,1992,18,0.823801886
t1,S1555,293767,230176,1993,24,0.779197157
t1,S1556,289494,227400,1992,22,0.943103315
t1,S1556,289494,227400,1993,30,0.905391216
t1,S1557,286151,227523,1992,18,1.307401046
t1,S1557,286151,227523,1993,24,1.061689354
t1,S1558,329110,186091,1991,11,-0.32405641
t1,S1558,329110,186091,1992,8,-0.363265352
t1,S1559,325862,188850,1991,17,0.072098882
t1,S1559,325862,188850,1992,13,-0.068675217
t1,S1560,321882,191692,1991,10,-0.216298551
t1,S1560,321882,191692,1992,12,-0.453099069
t1,S1561,321174,196952,1991,15,0.034835736
t1,S1561,321174,196952,1992,10,-0.182338015
t1,S1562,320875,201905,1991,14,0.3019356
t1,S1562,320875,201905,1992,11,0.251176853
t1,S1563,317520,207030,1991,12,-0.413980727
t1,S1563,317520,207030,1992,11,-0.255520688
t1,S1564,321900,191368,1991,13,0.033775455
t1,S1564,321900,191368,1992,12,0.216056348
t1,S1565,314522,208243,1991,10,-0.21153019
t1,S1565,314522,208243,1992,5,-0.491900348
t1,S1566,313480,210597,1991,15,0.184829728
t1,S1566,313480,210597,1992,13,0.120557154
t1,S1567,320955,201934,1991,10,-0.125356055
t1,S1567,320955,201934,1992,8,0.236238313
t1,S1568,320990,204588,1991,12,0.503760725
t1,S1568,320990,204588,1992,10,-0.389755047
